timestamp,axis1,axis2,axis3
2017-03-22 09:45:00,0,0,0
2017-03-22 09:45:05,0,0,0
2017-03-22 09:45:10,0,0,0
2017-03-22 09:45:15,0,0,0
2017-03-22 09:45:20,0,0,0
2017-03-22 09:45:25,0,0,0
2017-03-22 09:45:30,0,0,0
2017-03-22 09:45:35,0,0,0
2017-03-22 09:45:40,0,0,0
2017-03-22 09:45:45,0,0,0
2017-03-22 09:45:50,0,0,0
2017-03-22 09:45:55,0,0,0
2017-03-22 09:46:00,0,0,0
2017-03-22 09:46:05,0,0,0
2017-03-22 09:46:10,0,0,0
2017-03-22 09:46:15,0,0,0
2017-03-22 09:46:20,0,0,0
2017-03-22 09:46:25,0,0,0
2017-03-22 09:46:30,0,0,0
2017-03-22 09:46:35,0,0,0
2017-03-22 09:46:40,0,0,0
2017-03-22 09:46:45,0,0,0
2017-03-22 09:46:50,0,0,0
2017-03-22 09:46:55,0,0,0
2017-03-22 09:47:00,0,0,0
2017-03-22 09:47:05,0,0,0
2017-03-22 09:47:10,0,0,0
2017-03-22 09:47:15,0,0,0
2017-03-22 09:47:20,0,0,0
2017-03-22 09:47:25,0,0,0
2017-03-22 09:47:30,0,0,0
2017-03-22 09:47:35,0,0,0
2017-03-22 09:47:40,0,0,0
2017-03-22 09:47:45,0,0,0
2017-03-22 09:47:50,0,0,0
2017-03-22 09:47:55,0,0,0
2017-03-22 09:48:00,0,0,0
2017-03-22 09:48:05,0,0,0
2017-03-22 09:48:10,0,0,0
2017-03-22 09:48:15,0,0,0
2017-03-22 09:48:20,0,0,0
2017-03-22 09:48:25,0,0,0
2017-03-22 09:48:30,0,0,0
2017-03-22 09:48:35,0,0,0
2017-03-22 09:48:40,0,0,0
2017-03-22 09:48:45,0,0,0
2017-03-22 09:48:50,0,0,0
2017-03-22 09:48:55,0,0,0
2017-03-22 09:49:00,0,0,0
2017-03-22 09:49:05,0,0,0
2017-03-22 09:49:10,0,0,0
2017-03-22 09:49:15,0,0,0
2017-03-22 09:49:20,0,0,0
2017-03-22 09:49:25,0,0,0
2017-03-22 09:49:30,0,0,0
2017-03-22 09:49:35,82,193,117
2017-03-22 09:49:40,0,0,0
2017-03-22 09:49:45,0,0,0
2017-03-22 09:49:50,0,0,0
2017-03-22 09:49:55,0,0,0
2017-03-22 09:50:00,224,257,194
2017-03-22 09:50:05,14,9,0
2017-03-22 09:50:10,7,2,62
2017-03-22 09:50:15,0,0,0
2017-03-22 09:50:20,0,0,0
2017-03-22 09:50:25,347,468,426
2017-03-22 09:50:30,515,520,695
2017-03-22 09:50:35,483,591,230
2017-03-22 09:50:40,140,219,83
2017-03-22 09:50:45,0,0,0
2017-03-22 09:50:50,181,76,147
